index,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste
0,2454,5150,United States of America,2019,Madagascar,"Bejofo Estate, batch 1",76.0,3.75,3,1,1,0,0,0,1,0,cocoa,blackberry,full body,
1,2458,5150,United States of America,2019,Dominican republic,"Zorzal, batch 1",76.0,3.5,3,1,1,0,0,0,1,0,cocoa,vegetal,savory,
2,2454,5150,United States of America,2019,Tanzania,"Kokoa Kamili, batch 1",76.0,3.25,3,1,1,0,0,0,1,0,rich cocoa,fatty,bready,
3,797,A. Morin,France,2012,Peru,Peru,63.0,3.75,4,1,1,0,1,0,1,0,fruity,melon,roasty,
4,797,A. Morin,France,2012,Bolivia,Bolivia,70.0,3.5,4,1,1,0,1,0,1,0,vegetal,nutty,,
5,1015,A. Morin,France,2013,Venezuela,Chuao,70.0,4.0,4,1,1,0,1,0,1,0,oily,nut,caramel,raspberry
6,1019,A. Morin,France,2013,Peru,Chanchamayo Province,63.0,4.0,3,1,1,0,0,0,1,0,sweet,cocoa,tangerine,
7,1011,A. Morin,France,2013,Ecuador,Equateur,70.0,3.75,4,1,1,0,1,0,1,0,sandy,nutty,cocoa,fig
8,1019,A. Morin,France,2013,Peru,Chanchamayo Province,70.0,3.5,4,1,1,0,1,0,1,0,cocoa,sour,intense tangerine,
9,1011,A. Morin,France,2013,Brazil,Brazil,70.0,3.25,4,1,1,0,1,0,1,0,mild tobacco,,,
10,1015,A. Morin,France,2013,Papua new guinea,Papua New Guinea,70.0,3.25,4,1,1,0,1,0,1,0,mild fruit,strong smoke,,
11,1019,A. Morin,France,2013,Peru,Piura,70.0,3.25,4,1,1,0,1,0,1,0,green,nutty,cocoa,
12,1011,A. Morin,France,2013,Madagascar,"Madagascar, Criollo",70.0,3.0,4,1,1,0,1,0,1,0,sticky,red fruit,sour,
13,1015,A. Morin,France,2013,Burma,Birmanie,70.0,3.0,4,1,1,0,1,0,1,0,sticky,smokey,grass,
14,1011,A. Morin,France,2013,Panama,Panama,70.0,2.75,4,1,1,0,1,0,1,0,brief fruit note,earthy,nutty,
